I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.00015;5;1.5;60;0;8;19;1;97;380.3073;0;2015.12.29;5;3;3.92069381443299;
20200505;5;20;ATRMultiplier;-90;1;0.00015;5;1.5;60;0;8;19;1;111;491.8044;0;2015.12.29;5;3;4.43067027027027;
20200505;6;20;ATRMultiplier;-90;1;0.00015;5;1.5;60;0;8;19;1;150;320.2662;0;2015.12.29;7;3;2.135108;
20200505;4;20;ATRMultiplier;-80;1;0.00015;5;1.5;60;0;8;19;1;110;442.6186;0;2015.12.29;4;3;4.02380545454545;
20200505;5;20;ATRMultiplier;-80;1;0.00015;5;1.5;60;0;8;19;1;134;449.1643;0;2015.12.29;6;3;3.3519723880597;
20200505;6;20;ATRMultiplier;-80;1;0.00015;5;1.5;60;0;8;19;1;179;535.8743;0;2015.12.29;7;3;2.99371117318436;
20200505;4;20;ATRMultiplier;-70;1;0.00015;5;1.5;60;0;8;19;1;132;498.7059;0;2015.12.29;4;1;3.778075;
20200505;5;20;ATRMultiplier;-70;1;0.00015;5;1.5;60;0;8;19;1;158;577.1782;0;2015.12.29;6;0;3.65302658227848;
20200505;6;20;ATRMultiplier;-70;1;0.00015;5;1.5;60;0;8;19;1;214;889.2324;0;2015.12.29;7;3;4.15529158878505;
20200505;4;20;ATRMultiplier;-60;1;0.00015;5;1.5;60;0;8;19;1;161;656.8212;0;2015.12.29;5;1;4.0796347826087;
20200505;5;20;ATRMultiplier;-60;1;0.00015;5;1.5;60;0;8;19;1;206;904.7404;0;2015.12.29;6;6;4.39194368932039;
20200505;6;20;ATRMultiplier;-60;1;0.00015;5;1.5;60;0;8;19;1;265;1468.4083;0;2015.12.29;7;3;5.54116339622642;
20200505;4;20;ATRMultiplier;-50;1;0.00015;5;1.5;60;0;8;19;1;191;1355.9655;0;2015.12.29;7;7;7.09929581151833;
20200505;5;20;ATRMultiplier;-50;1;0.00015;5;1.5;60;0;8;19;1;252;1267.924;0;2015.12.29;8;8;5.03144444444445;
20200505;6;20;ATRMultiplier;-50;1;0.00015;5;1.5;60;0;8;19;1;330;1610.0818;0;2015.12.29;7;3;4.87903575757576;
20200505;4;20;ATRMultiplier;-40;1;0.00015;5;1.5;60;0;8;19;1;237;1826.492;0;2015.12.29;7;7;7.70671729957806;
20200505;5;20;ATRMultiplier;-40;1;0.00015;5;1.5;60;0;8;19;1;322;1495.4969;0;2015.12.29;7;7;4.64440031055901;
20200505;6;20;ATRMultiplier;-40;1;0.00015;5;1.5;60;0;8;19;1;417;1904.7863;0;2015.12.29;7;3;4.56783285371703;
20200505;4;20;ATRMultiplier;-30;1;0.00015;5;1.5;60;0;8;19;1;295;1699.6775;0;2015.12.29;7;7;5.7616186440678;
20200505;5;20;ATRMultiplier;-30;1;0.00015;5;1.5;60;0;8;19;1;401;1597.2623;0;2015.12.29;7;7;3.98319775561097;
20200505;6;20;ATRMultiplier;-30;1;0.00015;5;1.5;60;0;8;19;1;531;1702.4584;0;2015.12.29;7;3;3.20613634651601;
20200505;4;20;ATRMultiplier;-20;1;0.00015;5;1.5;60;0;8;19;1;387;1108.8183;0;2015.12.29;7;7;2.86516356589147;
20200505;5;20;ATRMultiplier;-20;1;0.00015;5;1.5;60;0;8;19;1;522;1448.9317;0;2015.12.29;6;3;2.77573122605364;
20200505;6;20;ATRMultiplier;-20;1;0.00015;5;1.5;60;0;8;19;1;673;1557.9735;0;2015.12.29;7;3;2.31496805349183;
20200505;4;20;ATRMultiplier;-10;1;0.00015;5;1.5;60;0;8;19;1;477;455.141;0;2015.12.29;5;1;0.954174004192872;
20200505;5;20;ATRMultiplier;-10;1;0.00015;5;1.5;60;0;8;19;1;655;1153.3429;0;2015.12.29;5;1;1.76082885496183;
20200505;6;20;ATRMultiplier;-10;1;0.00015;5;1.5;60;0;8;19;1;841;977.6928;0;2015.12.29;6;0;1.16253602853746;
20200505;4;20;ATRMultiplier;0;1;0.00015;5;1.5;60;0;8;19;1;523;-259.8817;0;2015.12.29;2;0;-0.496905736137667;
20200505;5;20;ATRMultiplier;0;1;0.00015;5;1.5;60;0;8;19;1;718;-1.70669999999999;0;2015.12.29;3;0;-2.37701949860723E-03;
20200505;6;20;ATRMultiplier;0;1;0.00015;5;1.5;60;0;8;19;1;928;-536.4858;0;2015.12.29;4;0;-0.578109698275862;
20200505;4;20;ATRMultiplier;10;1;0.00015;5;1.5;60;0;8;19;1;414;-1179.6024;0;2015.12.29;1;0;-2.84928115942029;
20200505;5;20;ATRMultiplier;10;1;0.00015;5;1.5;60;0;8;19;1;580;-577.0902;0;2015.12.29;2;0;-0.994983103448276;
20200505;6;20;ATRMultiplier;10;1;0.00015;5;1.5;60;0;8;19;1;732;-1444.1323;0;2015.12.29;3;0;-1.97285833333333;
20200505;4;20;ATRMultiplier;20;1;0.00015;5;1.5;60;0;8;19;1;322;-1080.6022;0;2015.12.29;1;0;-3.35590745341615;
20200505;5;20;ATRMultiplier;20;1;0.00015;5;1.5;60;0;8;19;1;440;-1461.4217;0;2015.12.29;1;0;-3.32141295454545;
20200505;6;20;ATRMultiplier;20;1;0.00015;5;1.5;60;0;8;19;1;557;-2048.647;0;2015.12.29;2;0;-3.67800179533214;
20200505;4;20;ATRMultiplier;30;1;0.00015;5;1.5;60;0;8;19;1;245;-1007.1265;0;2015.12.29;1;0;-4.11072040816327;
20200505;5;20;ATRMultiplier;30;1;0.00015;5;1.5;60;0;8;19;1;338;-1939.558;0;2015.12.29;1;0;-5.73833727810651;
20200505;6;20;ATRMultiplier;30;1;0.00015;5;1.5;60;0;8;19;1;412;-2346.929;0;2015.12.29;1;0;-5.69642961165049;
20200505;4;20;ATRMultiplier;40;1;0.00015;5;1.5;60;0;8;19;1;187;-1079.9329;0;2015.12.29;0;0;-5.7750422459893;
20200505;5;20;ATRMultiplier;40;1;0.00015;5;1.5;60;0;8;19;1;261;-1490.0773;0;2015.12.29;1;0;-5.70910842911877;
20200505;6;20;ATRMultiplier;40;1;0.00015;5;1.5;60;0;8;19;1;336;-1871.4067;0;2015.12.29;1;0;-5.56966279761905;
20200505;4;20;ATRMultiplier;50;1;0.00015;5;1.5;60;0;8;19;1;144;-1086.6402;0;2015.12.29;0;0;-7.5461125;
20200505;5;20;ATRMultiplier;50;1;0.00015;5;1.5;60;0;8;19;1;203;-1259.6554;0;2015.12.29;1;0;-6.20519901477833;
20200505;6;20;ATRMultiplier;50;1;0.00015;5;1.5;60;0;8;19;1;261;-2149.5381;0;2015.12.29;0;0;-8.23577816091954;
20200505;4;20;ATRMultiplier;-90;1.5;0.00015;5;1.5;60;0;8;19;1;96;220.4695;0;2015.12.29;5;0;2.29655729166667;
20200505;5;20;ATRMultiplier;-90;1.5;0.00015;5;1.5;60;0;8;19;1;110;364.8523;0;2015.12.29;3;0;3.31683909090909;
20200505;6;20;ATRMultiplier;-90;1.5;0.00015;5;1.5;60;0;8;19;1;149;314.5857;0;2015.12.29;5;0;2.11131342281879;
20200505;4;20;ATRMultiplier;-80;1.5;0.00015;5;1.5;60;0;8;19;1;110;382.4464;0;2015.12.29;4;0;3.47678545454546;
20200505;5;20;ATRMultiplier;-80;1.5;0.00015;5;1.5;60;0;8;19;1;132;498.5047;0;2015.12.29;5;0;3.77655075757576;
20200505;6;20;ATRMultiplier;-80;1.5;0.00015;5;1.5;60;0;8;19;1;176;416.6355;0;2015.12.29;6;0;2.36724715909091;
20200505;4;20;ATRMultiplier;-70;1.5;0.00015;5;1.5;60;0;8;19;1;131;731.1938;0;2015.12.29;7;7;5.5816320610687;
20200505;5;20;ATRMultiplier;-70;1.5;0.00015;5;1.5;60;0;8;19;1;156;681.6808;0;2015.12.29;5;1;4.36974871794872;
20200505;6;20;ATRMultiplier;-70;1.5;0.00015;5;1.5;60;0;8;19;1;211;591.6498;0;2015.12.29;6;0;2.80402748815166;
20200505;4;20;ATRMultiplier;-60;1.5;0.00015;5;1.5;60;0;8;19;1;160;941.7144;0;2015.12.29;7;7;5.885715;
20200505;5;20;ATRMultiplier;-60;1.5;0.00015;5;1.5;60;0;8;19;1;204;831.2636;0;2015.12.29;6;1;4.07482156862745;
20200505;6;20;ATRMultiplier;-60;1.5;0.00015;5;1.5;60;0;8;19;1;261;660.194;0;2015.12.29;6;0;2.52947892720307;
20200505;4;20;ATRMultiplier;-50;1.5;0.00015;5;1.5;60;0;8;19;1;188;1158.9118;0;2015.12.29;6;1;6.16442446808511;
20200505;5;20;ATRMultiplier;-50;1.5;0.00015;5;1.5;60;0;8;19;1;246;905.0967;0;2015.12.29;7;4;3.67925487804878;
