I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.00015;5;1.5;60;0;8;19;1;8;-7.6563;False;2016.12.28;0;0;-0.9570375;
20200505;5;20;ATRMultiplier;-90;1;0.00015;5;1.5;60;0;8;19;1;7;-32.17;False;2016.12.28;0;0;-4.59571428571429;
20200505;6;20;ATRMultiplier;-90;1;0.00015;5;1.5;60;0;8;19;1;12;-26.5637;False;2016.12.28;0;0;-2.21364166666667;
20200505;4;20;ATRMultiplier;-80;1;0.00015;5;1.5;60;0;8;19;1;10;54.5137;False;2016.12.28;1;1;5.45137;
20200505;5;20;ATRMultiplier;-80;1;0.00015;5;1.5;60;0;8;19;1;9;-22.19;False;2016.12.28;0;0;-2.46555555555556;
20200505;6;20;ATRMultiplier;-80;1;0.00015;5;1.5;60;0;8;19;1;14;38.44;False;2016.12.28;1;1;2.74571428571429;
20200505;4;20;ATRMultiplier;-70;1;0.00015;5;1.5;60;0;8;19;1;13;96.66;False;2016.12.28;1;1;7.43538461538462;
20200505;5;20;ATRMultiplier;-70;1;0.00015;5;1.5;60;0;8;19;1;14;31.23;False;2016.12.28;1;1;2.23071428571429;
20200505;6;20;ATRMultiplier;-70;1;0.00015;5;1.5;60;0;8;19;1;18;60.8;False;2016.12.28;1;1;3.37777777777778;
20200505;4;20;ATRMultiplier;-60;1;0.00015;5;1.5;60;0;8;19;1;16;37.76;False;2016.12.28;1;1;2.36;
20200505;5;20;ATRMultiplier;-60;1;0.00015;5;1.5;60;0;8;19;1;16;41.77;False;2016.12.28;1;1;2.610625;
20200505;6;20;ATRMultiplier;-60;1;0.00015;5;1.5;60;0;8;19;1;23;66.45;False;2016.12.28;1;1;2.88913043478261;
20200505;4;20;ATRMultiplier;-50;1;0.00015;5;1.5;60;0;8;19;1;22;3.53;False;2016.12.28;1;1;0.160454545454545;
20200505;5;20;ATRMultiplier;-50;1;0.00015;5;1.5;60;0;8;19;1;22;-43.97;False;2016.12.28;0;0;-1.99863636363636;
20200505;6;20;ATRMultiplier;-50;1;0.00015;5;1.5;60;0;8;19;1;29;-18.1637;False;2016.12.28;0;0;-0.626334482758621;
20200505;4;20;ATRMultiplier;-40;1;0.00015;5;1.5;60;0;8;19;1;24;-34.2114;False;2016.12.28;0;0;-1.425475;
20200505;5;20;ATRMultiplier;-40;1;0.00015;5;1.5;60;0;8;19;1;30;-145.7014;False;2016.12.28;0;0;-4.85671333333333;
20200505;6;20;ATRMultiplier;-40;1;0.00015;5;1.5;60;0;8;19;1;37;-14.7151;False;2016.12.28;0;0;-0.397705405405405;
20200505;4;20;ATRMultiplier;-30;1;0.00015;5;1.5;60;0;8;19;1;32;-88.8632;False;2016.12.28;0;0;-2.776975;
20200505;5;20;ATRMultiplier;-30;1;0.00015;5;1.5;60;0;8;19;1;42;-324.9748;False;2016.12.28;0;0;-7.73749523809524;
20200505;6;20;ATRMultiplier;-30;1;0.00015;5;1.5;60;0;8;19;1;51;-235.5213;False;2016.12.28;0;0;-4.61806470588235;
20200505;4;20;ATRMultiplier;-20;1;0.00015;5;1.5;60;0;8;19;1;44;-247.2265;False;2016.12.28;0;0;-5.61878409090909;
20200505;5;20;ATRMultiplier;-20;1;0.00015;5;1.5;60;0;8;19;1;53;-432.6705;False;2016.12.28;0;0;-8.16359433962264;
20200505;6;20;ATRMultiplier;-20;1;0.00015;5;1.5;60;0;8;19;1;74;-449.0871;False;2016.12.28;0;0;-6.06874459459459;
20200505;4;20;ATRMultiplier;-10;1;0.00015;5;1.5;60;0;8;19;1;52;-347.9465;False;2016.12.28;0;0;-6.69127884615385;
20200505;5;20;ATRMultiplier;-10;1;0.00015;5;1.5;60;0;8;19;1;66;-456.8116;False;2016.12.28;0;0;-6.92138787878788;
20200505;6;20;ATRMultiplier;-10;1;0.00015;5;1.5;60;0;8;19;1;93;-443.9434;False;2016.12.28;0;0;-4.77358494623656;
20200505;4;20;ATRMultiplier;0;1;0.00015;5;1.5;60;0;8;19;1;59;-475.908;False;2016.12.28;0;0;-8.06623728813559;
20200505;5;20;ATRMultiplier;0;1;0.00015;5;1.5;60;0;8;19;1;73;-467.2204;False;2016.12.28;0;0;-6.40027945205479;
20200505;6;20;ATRMultiplier;0;1;0.00015;5;1.5;60;0;8;19;1;106;-506.4416;False;2016.12.28;0;0;-4.77775094339623;
20200505;4;20;ATRMultiplier;10;1;0.00015;5;1.5;60;0;8;19;1;51;-475.0908;False;2016.12.28;0;0;-9.31550588235294;
20200505;5;20;ATRMultiplier;10;1;0.00015;5;1.5;60;0;8;19;1;62;-435.2415;False;2016.12.28;0;0;-7.02002419354839;
20200505;6;20;ATRMultiplier;10;1;0.00015;5;1.5;60;0;8;19;1;91;-397.3786;False;2016.12.28;0;0;-4.3667978021978;
20200505;4;20;ATRMultiplier;20;1;0.00015;5;1.5;60;0;8;19;1;43;-230.3438;False;2016.12.28;0;0;-5.35683255813953;
20200505;5;20;ATRMultiplier;20;1;0.00015;5;1.5;60;0;8;19;1;50;-388.7215;False;2016.12.28;0;0;-7.77443;
20200505;6;20;ATRMultiplier;20;1;0.00015;5;1.5;60;0;8;19;1;77;-132.1752;False;2016.12.28;0;0;-1.71656103896104;
20200505;4;20;ATRMultiplier;30;1;0.00015;5;1.5;60;0;8;19;1;32;-138.3338;False;2016.12.28;0;0;-4.32293125;
20200505;5;20;ATRMultiplier;30;1;0.00015;5;1.5;60;0;8;19;1;35;-153.3457;False;2016.12.28;0;0;-4.38130571428571;
20200505;6;20;ATRMultiplier;30;1;0.00015;5;1.5;60;0;8;19;1;58;-144.1424;False;2016.12.28;0;0;-2.48521379310345;
20200505;4;20;ATRMultiplier;40;1;0.00015;5;1.5;60;0;8;19;1;25;-42.1419;False;2016.12.28;0;0;-1.685676;
20200505;5;20;ATRMultiplier;40;1;0.00015;5;1.5;60;0;8;19;1;31;-168.18;False;2016.12.28;0;0;-5.42516129032258;
20200505;6;20;ATRMultiplier;40;1;0.00015;5;1.5;60;0;8;19;1;44;-155.1891;False;2016.12.28;0;0;-3.527025;
20200505;4;20;ATRMultiplier;50;1;0.00015;5;1.5;60;0;8;19;1;19;-115.06;False;2016.12.28;0;0;-6.05578947368421;
20200505;5;20;ATRMultiplier;50;1;0.00015;5;1.5;60;0;8;19;1;24;-243.35;False;2016.12.28;0;0;-10.1395833333333;
20200505;6;20;ATRMultiplier;50;1;0.00015;5;1.5;60;0;8;19;1;32;-244.63;False;2016.12.28;0;0;-7.6446875;
20200505;4;20;ATRMultiplier;-90;1.5;0.00015;5;1.5;60;0;8;19;1;8;-10.8705;False;2016.12.28;0;0;-1.3588125;
20200505;5;20;ATRMultiplier;-90;1.5;0.00015;5;1.5;60;0;8;19;1;7;-34.36;False;2016.12.28;0;0;-4.90857142857143;
20200505;6;20;ATRMultiplier;-90;1.5;0.00015;5;1.5;60;0;8;19;1;12;-32.4205;False;2016.12.28;0;0;-2.70170833333333;
20200505;4;20;ATRMultiplier;-80;1.5;0.00015;5;1.5;60;0;8;19;1;10;0.4095;False;2016.12.28;1;1;0.04095;
20200505;5;20;ATRMultiplier;-80;1.5;0.00015;5;1.5;60;0;8;19;1;9;-22.03;False;2016.12.28;0;0;-2.44777777777778;
20200505;6;20;ATRMultiplier;-80;1.5;0.00015;5;1.5;60;0;8;19;1;14;-21.3605;False;2016.12.28;0;0;-1.52575;
20200505;4;20;ATRMultiplier;-70;1.5;0.00015;5;1.5;60;0;8;19;1;13;-8.8191;False;2016.12.28;0;0;-0.678392307692308;
20200505;5;20;ATRMultiplier;-70;1.5;0.00015;5;1.5;60;0;8;19;1;14;26.33;False;2016.12.28;1;1;1.88071428571429;
20200505;6;20;ATRMultiplier;-70;1.5;0.00015;5;1.5;60;0;8;19;1;18;-0.1205;False;2016.12.28;0;0;-6.69444444444444E-03;
20200505;4;20;ATRMultiplier;-60;1.5;0.00015;5;1.5;60;0;8;19;1;16;-14.4891;False;2016.12.28;0;0;-0.90556875;
20200505;5;20;ATRMultiplier;-60;1.5;0.00015;5;1.5;60;0;8;19;1;16;-10;False;2016.12.28;0;0;-0.625;
20200505;6;20;ATRMultiplier;-60;1.5;0.00015;5;1.5;60;0;8;19;1;23;4.7979;False;2016.12.28;1;1;0.208604347826087;
20200505;4;20;ATRMultiplier;-50;1.5;0.00015;5;1.5;60;0;8;19;1;22;-51.2542;False;2016.12.28;0;0;-2.32973636363636;
20200505;5;20;ATRMultiplier;-50;1.5;0.00015;5;1.5;60;0;8;19;1;22;-98.89;False;2016.12.28;0;0;-4.495;
20200505;6;20;ATRMultiplier;-50;1.5;0.00015;5;1.5;60;0;8;19;1;29;-77.88;False;2016.12.28;0;0;-2.68551724137931;
20200505;4;20;ATRMultiplier;-40;1.5;0.00015;5;1.5;60;0;8;19;1;24;-87.8152;False;2016.12.28;0;0;-3.65896666666667;
20200505;5;20;ATRMultiplier;-40;1.5;0.00015;5;1.5;60;0;8;19;1;30;-232.8199;False;2016.12.28;0;0;-7.76066333333333;
20200505;6;20;ATRMultiplier;-40;1.5;0.00015;5;1.5;60;0;8;19;1;37;-110.5594;False;2016.12.28;0;0;-2.98809189189189;
20200505;4;20;ATRMultiplier;-30;1.5;0.00015;5;1.5;60;0;8;19;1;32;-91.9396;False;2016.12.28;0;0;-2.8731125;
20200505;5;20;ATRMultiplier;-30;1.5;0.00015;5;1.5;60;0;8;19;1;42;-408.4904;False;2016.12.28;0;0;-9.72596190476191;
20200505;6;20;ATRMultiplier;-30;1.5;0.00015;5;1.5;60;0;8;19;1;51;-220.8209;False;2016.12.28;0;0;-4.32982156862745;
20200505;4;20;ATRMultiplier;-20;1.5;0.00015;5;1.5;60;0;8;19;1;44;-225.1901;False;2016.12.28;0;0;-5.11795681818182;
20200505;5;20;ATRMultiplier;-20;1.5;0.00015;5;1.5;60;0;8;19;1;53;-465.1267;False;2016.12.28;0;0;-8.77597547169811;
20200505;6;20;ATRMultiplier;-20;1.5;0.00015;5;1.5;60;0;8;19;1;71;-280.4332;False;2016.12.28;0;0;-3.94976338028169;
20200505;4;20;ATRMultiplier;-10;1.5;0.00015;5;1.5;60;0;8;19;1;50;-144.9256;False;2016.12.28;0;0;-2.898512;
20200505;5;20;ATRMultiplier;-10;1.5;0.00015;5;1.5;60;0;8;19;1;64;-482.5004;False;2016.12.28;0;0;-7.53906875;
20200505;6;20;ATRMultiplier;-10;1.5;0.00015;5;1.5;60;0;8;19;1;87;-300.5151;False;2016.12.28;0;0;-3.45419655172414;
20200505;4;20;ATRMultiplier;0;1.5;0.00015;5;1.5;60;0;8;19;1;54;-258.4412;False;2016.12.28;0;0;-4.78594814814815;
20200505;5;20;ATRMultiplier;0;1.5;0.00015;5;1.5;60;0;8;19;1;69;-453.2902;False;2016.12.28;0;0;-6.5694231884058;
20200505;6;20;ATRMultiplier;0;1.5;0.00015;5;1.5;60;0;8;19;1;98;-150.9234;False;2016.12.28;0;0;-1.54003469387755;
20200505;4;20;ATRMultiplier;10;1.5;0.00015;5;1.5;60;0;8;19;1;48;-244.4132;False;2016.12.28;0;0;-5.09194166666667;
20200505;5;20;ATRMultiplier;10;1.5;0.00015;5;1.5;60;0;8;19;1;58;-248.3935;False;2016.12.28;0;0;-4.28264655172414;
20200505;6;20;ATRMultiplier;10;1.5;0.00015;5;1.5;60;0;8;19;1;85;-242.0254;False;2016.12.28;0;0;-2.84735764705882;
20200505;4;20;ATRMultiplier;20;1.5;0.00015;5;1.5;60;0;8;19;1;42;-264.6517;False;2016.12.28;0;0;-6.30123095238095;
20200505;5;20;ATRMultiplier;20;1.5;0.00015;5;1.5;60;0;8;19;1;47;-291.7214;False;2016.12.28;0;0;-6.20683829787234;
20200505;6;20;ATRMultiplier;20;1.5;0.00015;5;1.5;60;0;8;19;1;73;-91.1469;False;2016.12.28;0;0;-1.24858767123288;
