I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;Total P&L;Total No Trades;BucketNoTrades_1;BucketProfit_1;Bucket_LastTradeBreach_1;BucketEndDate_1;BucketNoTrades_2;BucketProfit_2;Bucket_LastTradeBreach_2;BucketEndDate_2;BucketNoTrades_3;BucketProfit_3;Bucket_LastTradeBreach_3;BucketEndDate_3;BucketNoTrades_4;BucketProfit_4;Bucket_LastTradeBreach_4;BucketEndDate_4;BucketNoTrades_5;BucketProfit_5;Bucket_LastTradeBreach_5;BucketEndDate_5;BucketNoTrades_6;BucketProfit_6;Bucket_LastTradeBreach_6;BucketEndDate_6;BucketNoTrades_7;BucketProfit_7;Bucket_LastTradeBreach_7;BucketEndDate_7;BucketNoTrades_8;BucketProfit_8;Bucket_LastTradeBreach_8;BucketEndDate_8;BucketNoTrades_9;BucketProfit_9;Bucket_LastTradeBreach_9;BucketEndDate_9;BucketNoTrades_10;BucketProfit_10;Bucket_LastTradeBreach_10;BucketEndDate_10;BucketNoTrades_11;BucketProfit_11;Bucket_LastTradeBreach_11;BucketEndDate_11;BucketNoTrades_12;BucketProfit_12;Bucket_LastTradeBreach_12;BucketEndDate_12;BucketNoTrades_13;BucketProfit_13;Bucket_LastTradeBreach_13;BucketEndDate_13;BucketNoTrades_14;BucketProfit_14;Bucket_LastTradeBreach_14;BucketEndDate_14;BucketNoTrades_15;BucketProfit_15;Bucket_LastTradeBreach_15;BucketEndDate_15;BucketNoTrades_16;BucketProfit_16;Bucket_LastTradeBreach_16;BucketEndDate_16;BucketNoTrades_17;BucketProfit_17;Bucket_LastTradeBreach_17;BucketEndDate_17;BucketNoTrades_18;BucketProfit_18;Bucket_LastTradeBreach_18;BucketEndDate_18;
20200505;4;20.0000;ATRMultiplier;-90;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;658.2315;226;8;-103.2000;False;2003.01.01;11;127.3200;False;2004.01.01;5;8.8000;False;2004.12.31;8;167.6456;False;2005.12.31;7;-7.8700;False;2006.12.31;17;-57.8829;False;2007.12.31;4;-25.0400;False;2008.12.30;13;2.8800;False;2009.12.30;10;60.1700;False;2010.12.30;12;-77.2000;False;2011.12.30;14;-48.5200;False;2012.12.29;17;179.2201;False;2013.12.29;10;22.8638;False;2014.12.29;22;13.6800;False;2015.12.29;9;81.3426;False;2016.12.28;16;188.8428;False;2017.12.28;19;58.5300;False;2018.12.28;24;66.6495;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;-90;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;413.8736;257;5;-43.4800;False;2003.01.01;8;23.6500;False;2004.01.01;15;-185.9399;False;2004.12.31;10;113.6952;False;2005.12.31;7;-11.2190;False;2006.12.31;10;-85.2281;False;2007.12.31;4;-25.3600;False;2008.12.30;15;-26.0127;False;2009.12.30;14;45.8200;False;2010.12.30;8;53.9800;False;2011.12.30;13;-83.6704;False;2012.12.29;21;216.7501;False;2013.12.29;14;115.4619;False;2014.12.29;34;-103.4179;False;2015.12.29;8;4.4100;False;2016.12.28;21;249.6890;False;2017.12.28;29;-28.7414;False;2018.12.28;21;183.4868;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;-90;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;87.3220;326;7;-82.1000;False;2003.01.01;14;16.6700;False;2004.01.01;17;-12.6670;False;2004.12.31;11;56.1452;False;2005.12.31;10;25.5900;False;2006.12.31;14;-165.5658;False;2007.12.31;6;90.2800;False;2008.12.30;21;37.4389;False;2009.12.30;26;23.7042;False;2010.12.30;11;47.7089;False;2011.12.30;18;-230.3522;False;2012.12.29;24;73.1251;False;2013.12.29;24;86.1333;False;2014.12.29;32;-120.3129;False;2015.12.29;12;-18.0448;False;2016.12.28;23;114.0472;False;2017.12.28;27;114.7523;False;2018.12.28;29;30.7695;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;-80;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;686.6220;270;9;-12.2800;False;2003.01.01;13;116.4200;False;2004.01.01;8;-49.6600;False;2004.12.31;8;168.2852;False;2005.12.31;8;29.2500;False;2006.12.31;19;-43.2406;False;2007.12.31;4;-25.0400;False;2008.12.30;16;-49.6600;False;2009.12.30;11;92.6900;False;2010.12.30;14;37.1885;False;2011.12.30;19;-91.5467;False;2012.12.29;19;289.6622;False;2013.12.29;14;-56.6539;False;2014.12.29;25;10.7086;False;2015.12.29;12;74.9510;False;2016.12.28;21;152.4828;False;2017.12.28;20;40.2285;False;2018.12.28;30;2.8362;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;-80;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;629.0090;316;9;-11.0577;False;2003.01.01;13;6.8757;False;2004.01.01;17;-172.8989;False;2004.12.31;12;131.3904;False;2005.12.31;8;-28.0190;False;2006.12.31;14;2.5919;False;2007.12.31;4;27.6800;False;2008.12.30;18;-31.6727;False;2009.12.30;16;118.5000;False;2010.12.30;9;83.9800;False;2011.12.30;20;-111.8347;False;2012.12.29;25;236.0959;False;2013.12.29;19;17.3419;False;2014.12.29;35;-70.5070;False;2015.12.29;13;12.6500;False;2016.12.28;25;282.1832;False;2017.12.28;33;-109.0500;False;2018.12.28;26;244.7600;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;-80;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;120.8791;397;10;-114.6019;False;2003.01.01;17;39.4262;False;2004.01.01;22;-35.8184;False;2004.12.31;16;14.7252;False;2005.12.31;13;-26.1200;False;2006.12.31;18;-186.5458;False;2007.12.31;6;144.6400;False;2008.12.30;25;-35.2511;False;2009.12.30;29;127.1400;False;2010.12.30;14;103.1489;False;2011.12.30;24;-292.9846;False;2012.12.29;27;156.6677;False;2013.12.29;30;80.9523;False;2014.12.29;35;-124.8581;False;2015.12.29;17;38.0637;False;2016.12.28;28;125.2346;False;2017.12.28;30;110.4809;False;2018.12.28;36;-3.4206;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;-70;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;868.0857;329;12;-36.1700;False;2003.01.01;16;118.2000;False;2004.01.01;10;-88.2500;False;2004.12.31;13;232.6552;False;2005.12.31;10;12.2700;False;2006.12.31;23;-68.2601;False;2007.12.31;6;-10.7000;False;2008.12.30;19;1.6900;False;2009.12.30;12;72.9300;False;2010.12.30;15;20.8485;False;2011.12.30;22;-92.2319;False;2012.12.29;22;289.2322;False;2013.12.29;17;-114.4762;False;2014.12.29;30;127.6486;False;2015.12.29;15;62.5410;False;2016.12.28;26;212.9600;False;2017.12.28;24;10.2023;False;2018.12.28;37;116.9962;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;-70;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;400.8381;409;14;34.3078;False;2003.01.01;20;19.2073;False;2004.01.01;21;-199.0261;False;2004.12.31;18;93.9652;False;2005.12.31;12;-46.4190;False;2006.12.31;20;-113.5003;False;2007.12.31;5;9.2800;False;2008.12.30;22;-7.8937;False;2009.12.30;22;112.5700;False;2010.12.30;11;98.6900;False;2011.12.30;21;-18.3047;False;2012.12.29;31;303.2859;False;2013.12.29;24;-81.4981;False;2014.12.29;41;-76.5870;False;2015.12.29;15;23.6700;False;2016.12.28;31;310.0604;False;2017.12.28;43;-179.0596;False;2018.12.28;38;118.0901;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;-70;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;129.9989;502;14;54.6807;False;2003.01.01;24;110.4447;False;2004.01.01;24;-21.5284;False;2004.12.31;24;73.9073;False;2005.12.31;16;-82.4500;False;2006.12.31;21;-218.6658;False;2007.12.31;8;158.7700;False;2008.12.30;34;50.4551;False;2009.12.30;35;170.9700;False;2010.12.30;18;81.6589;False;2011.12.30;30;-297.1341;False;2012.12.29;35;121.1319;False;2013.12.29;37;-0.5277;False;2014.12.29;40;-221.7648;False;2015.12.29;20;29.7900;False;2016.12.28;34;157.1973;False;2017.12.28;39;4.1633;False;2018.12.28;49;-41.0996;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;-60;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;740.3531;404;13;0.4500;False;2003.01.01;18;136.4452;False;2004.01.01;13;-93.4400;False;2004.12.31;15;193.0504;False;2005.12.31;13;-44.3200;False;2006.12.31;25;2.9299;False;2007.12.31;7;-29.9600;False;2008.12.30;22;-1.9700;False;2009.12.30;14;87.0100;False;2010.12.30;22;-6.5220;False;2011.12.30;26;43.0181;False;2012.12.29;29;202.9716;False;2013.12.29;24;-141.1686;False;2014.12.29;35;191.0001;False;2015.12.29;18;7.4110;False;2016.12.28;32;280.9081;False;2017.12.28;32;-89.9896;False;2018.12.28;46;2.5290;False;2019.12.28;
