I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;110;420.3993;0;2017.12.28;6;5;3.82181181818182;
20200505;5;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;133;499.0227;0;2017.12.28;6;2;3.75205037593985;
20200505;6;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;170;-23.9912;0;2017.12.28;5;1;-0.141124705882353;
20200505;4;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;135;509.4825;0;2017.12.28;6;3;3.77394444444444;
20200505;5;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;162;568.4093;0;2017.12.28;6;2;3.50869938271605;
20200505;6;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;204;213.3645;0;2017.12.28;6;2;1.04590441176471;
20200505;4;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;159;579.4522;0;2017.12.28;6;3;3.6443534591195;
20200505;5;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;196;671.8865;0;2017.12.28;5;2;3.42799234693878;
20200505;6;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;249;41.3215;0;2017.12.28;5;2;0.165949799196787;
20200505;4;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;200;664.6283;0;2017.12.28;6;3;3.3231415;
20200505;5;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;262;470.6981;0;2017.12.28;4;1;1.79655763358779;
20200505;6;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;307;360.4244;0;2017.12.28;4;1;1.17402084690554;
20200505;4;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;242;1003.5799;0;2017.12.28;6;1;4.14702438016529;
20200505;5;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;316;438.2159;0;2017.12.28;5;1;1.38675917721519;
20200505;6;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;380;317.2804;0;2017.12.28;4;1;0.834948421052632;
20200505;4;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;294;752.4385;0;2017.12.28;6;1;2.55931462585034;
20200505;5;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;393;-44.5523999999999;0;2017.12.28;4;1;-0.113364885496183;
20200505;6;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;486;-130.8865;0;2017.12.28;5;1;-0.26931378600823;
20200505;4;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;369;572.8995;0;2017.12.28;6;1;1.55257317073171;
20200505;5;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;470;438.4241;0;2017.12.28;6;1;0.932817234042553;
