I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;16;188.8428;False;2017.12.28;1;1;11.802675;
20200505;5;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;21;249.689;False;2017.12.28;1;1;11.8899523809524;
20200505;6;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;23;114.0472;False;2017.12.28;1;1;4.95857391304348;
20200505;4;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;21;152.4828;False;2017.12.28;1;1;7.26108571428571;
20200505;5;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;25;282.1832;False;2017.12.28;1;1;11.287328;
20200505;6;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;28;125.2346;False;2017.12.28;1;1;4.47266428571429;
20200505;4;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;26;212.96;False;2017.12.28;1;1;8.19076923076923;
20200505;5;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;31;310.0604;False;2017.12.28;1;1;10.0019483870968;
20200505;6;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;34;157.1973;False;2017.12.28;1;1;4.62345;
20200505;4;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;32;280.9081;False;2017.12.28;1;1;8.778378125;
20200505;5;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;40;261.7266;False;2017.12.28;1;1;6.543165;
20200505;6;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;40;220.3636;False;2017.12.28;1;1;5.50909;
20200505;4;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;40;333.0687;False;2017.12.28;1;1;8.3267175;
20200505;5;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;46;199.0555;False;2017.12.28;1;1;4.32729347826087;
20200505;6;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;46;161.3193;False;2017.12.28;1;1;3.50694130434783;
20200505;4;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;51;147.8653;False;2017.12.28;1;1;2.89931960784314;
20200505;5;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;58;40.4219;False;2017.12.28;1;1;0.696929310344828;
