I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;132;435.6755;0;2019.08.10;27;1;3.30057196969697;
20200505;5;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;157;464.5881;0;2019.08.10;28;1;2.95915987261146;
20200505;6;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;189;-13.5637000000001;0;2019.08.10;25;1;-7.17656084656089E-02;
20200505;4;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;161;393.5673;0;2019.08.10;27;0;2.44451739130435;
20200505;5;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;191;375.4593;0;2019.08.10;29;1;1.9657554973822;
20200505;6;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;224;86.5345;0;2019.08.10;27;1;0.386314732142857;
20200505;4;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;194;531.7505;0;2019.08.10;26;0;2.74098195876289;
20200505;5;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;237;365.217;0;2019.08.10;30;1;1.541;
20200505;6;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;282;-218.7448;0;2019.08.10;24;0;-0.775690780141844;
20200505;4;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;245;429.4876;0;2019.08.10;26;1;1.7530106122449;
20200505;5;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;304;470.107;0;2019.08.10;29;1;1.54640460526316;
20200505;6;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;352;127.6181;0;2019.08.10;28;1;0.362551420454545;
20200505;4;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;289;375.775;0;2019.08.10;26;1;1.30025951557093;
20200505;5;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;373;317.9407;0;2019.08.10;27;1;0.852387935656836;
20200505;6;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;439;-70.682;0;2019.08.10;24;1;-0.161006833712984;
20200505;4;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;363;310.457;0;2019.08.10;23;1;0.855253443526171;
20200505;5;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;459;-435.6883;0;2019.08.10;22;1;-0.949211982570806;
20200505;6;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;559;-542.1579;0;2019.08.10;21;1;-0.969871019677997;
20200505;4;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;452;111.974;0;2019.08.10;21;1;0.247730088495575;
20200505;5;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;555;280.1782;0;2019.08.10;26;1;0.504825585585586;
20200505;6;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;703;-258.4971;0;2019.08.10;24;1;-0.367705689900427;
20200505;4;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;552;-453.6075;0;2019.08.10;18;1;-0.821752717391304;
20200505;5;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;664;-160.3266;0;2019.08.10;22;1;-0.241455722891566;
20200505;6;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;840;-1091.7552;0;2019.08.10;20;1;-1.29970857142857;
20200505;4;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;588;-1174.6256;0;2019.08.10;16;1;-1.99766258503401;
20200505;5;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;733;-1455.7735;0;2019.08.10;20;1;-1.98604843110505;
20200505;6;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;927;-1754.1199;0;2019.08.10;17;1;-1.8922544768069;
20200505;4;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;604;-2424.9094;0;2019.08.10;13;1;-4.01475066225166;
20200505;5;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;772;-2486.8352;0;2019.08.10;15;1;-3.22128911917098;
20200505;6;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;972;-3585.8995;0;2019.08.10;10;1;-3.68919701646091;
20200505;4;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;491;-2270.4372;0;2019.08.10;14;0;-4.6241083503055;
20200505;5;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;643;-2651.2792;0;2019.08.10;15;0;-4.12329580093313;
20200505;6;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;796;-3611.7457;0;2019.08.10;9;0;-4.53736896984925;
20200505;4;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;374;-1903.6075;0;2019.08.10;12;0;-5.08985962566845;
20200505;5;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;489;-2912.0074;0;2019.08.10;11;0;-5.95502535787321;
20200505;6;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;597;-3787.7971;0;2019.08.10;9;0;-6.34471876046901;
20200505;4;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;263;-1807.2593;0;2019.08.10;11;0;-6.87170836501901;
20200505;5;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;360;-2658.1495;0;2019.08.10;9;0;-7.38374861111111;
20200505;6;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;443;-3363.7506;0;2019.08.10;10;0;-7.5931164785553;
20200505;4;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;216;-1595.6803;0;2019.08.10;11;0;-7.3874087962963;
20200505;5;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;293;-2126.4765;0;2019.08.10;11;0;-7.25759897610921;
20200505;6;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;361;-2772.4476;0;2019.08.10;15;0;-7.67991024930748;
20200505;4;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;166;-1287.636;0;2019.08.10;12;0;-7.75684337349397;
20200505;5;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;218;-2002.9638;0;2019.08.10;13;0;-9.18790733944954;
20200505;6;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;267;-2661.6083;0;2019.08.10;8;1;-9.96857041198502;
20200505;4;20;ATRMultiplier;-90;1.5;0.0003;5;1.5;60;0;8;19;1;131;302.95;0;2019.08.10;27;1;2.31259541984733;
20200505;5;20;ATRMultiplier;-90;1.5;0.0003;5;1.5;60;0;8;19;1;156;211.1373;0;2019.08.10;26;1;1.35344423076923;
20200505;6;20;ATRMultiplier;-90;1.5;0.0003;5;1.5;60;0;8;19;1;188;47.3521;0;2019.08.10;28;1;0.251872872340426;
20200505;4;20;ATRMultiplier;-80;1.5;0.0003;5;1.5;60;0;8;19;1;160;236.6035;0;2019.08.10;27;0;1.478771875;
20200505;5;20;ATRMultiplier;-80;1.5;0.0003;5;1.5;60;0;8;19;1;189;55.484;0;2019.08.10;28;1;0.293566137566137;
20200505;6;20;ATRMultiplier;-80;1.5;0.0003;5;1.5;60;0;8;19;1;221;-204.4298;0;2019.08.10;24;1;-0.925021719457013;
20200505;4;20;ATRMultiplier;-70;1.5;0.0003;5;1.5;60;0;8;19;1;192;387.1297;0;2019.08.10;27;0;2.01630052083333;
20200505;5;20;ATRMultiplier;-70;1.5;0.0003;5;1.5;60;0;8;19;1;235;12.0437999999999;0;2019.08.10;24;0;5.12502127659571E-02;
20200505;6;20;ATRMultiplier;-70;1.5;0.0003;5;1.5;60;0;8;19;1;276;-510.9957;0;2019.08.10;18;0;-1.85143369565217;
20200505;4;20;ATRMultiplier;-60;1.5;0.0003;5;1.5;60;0;8;19;1;244;371.4741;0;2019.08.10;26;1;1.52243483606557;
20200505;5;20;ATRMultiplier;-60;1.5;0.0003;5;1.5;60;0;8;19;1;298;-84.2332000000001;0;2019.08.10;26;1;-0.282661744966443;
20200505;6;20;ATRMultiplier;-60;1.5;0.0003;5;1.5;60;0;8;19;1;345;-374.0806;0;2019.08.10;26;1;-1.0842915942029;
20200505;4;20;ATRMultiplier;-50;1.5;0.0003;5;1.5;60;0;8;19;1;284;419.0393;0;2019.08.10;22;1;1.47549049295775;
20200505;5;20;ATRMultiplier;-50;1.5;0.0003;5;1.5;60;0;8;19;1;359;7.37019999999995;0;2019.08.10;25;1;2.05298050139275E-02;
20200505;6;20;ATRMultiplier;-50;1.5;0.0003;5;1.5;60;0;8;19;1;422;-373.1958;0;2019.08.10;24;1;-0.884350236966825;
20200505;4;20;ATRMultiplier;-40;1.5;0.0003;5;1.5;60;0;8;19;1;350;295.7203;0;2019.08.10;22;1;0.844915142857143;
20200505;5;20;ATRMultiplier;-40;1.5;0.0003;5;1.5;60;0;8;19;1;436;-327.2449;0;2019.08.10;22;1;-0.750561697247707;
20200505;6;20;ATRMultiplier;-40;1.5;0.0003;5;1.5;60;0;8;19;1;530;-491.4459;0;2019.08.10;25;1;-0.92725641509434;
20200505;4;20;ATRMultiplier;-30;1.5;0.0003;5;1.5;60;0;8;19;1;429;-78.9189;0;2019.08.10;20;1;-0.18396013986014;
20200505;5;20;ATRMultiplier;-30;1.5;0.0003;5;1.5;60;0;8;19;1;524;-386.8216;0;2019.08.10;21;1;-0.738209160305343;
20200505;6;20;ATRMultiplier;-30;1.5;0.0003;5;1.5;60;0;8;19;1;654;-640.2869;0;2019.08.10;17;0;-0.979031957186544;
20200505;4;20;ATRMultiplier;-20;1.5;0.0003;5;1.5;60;0;8;19;1;516;-543.1891;0;2019.08.10;23;1;-1.05269205426357;
20200505;5;20;ATRMultiplier;-20;1.5;0.0003;5;1.5;60;0;8;19;1;624;-468.6646;0;2019.08.10;23;1;-0.751065064102564;
20200505;6;20;ATRMultiplier;-20;1.5;0.0003;5;1.5;60;0;8;19;1;780;-719.5929;0;2019.08.10;19;1;-0.922555;
