I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;3;45.1633;False;2019.10.12;1;1;15.0544333333333;
20200505;5;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;6;42.14;False;2019.10.12;1;1;7.02333333333333;
20200505;6;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;5;9.04;False;2019.10.12;1;1;1.808;
20200505;4;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;5;6.83;False;2019.10.12;1;1;1.366;
20200505;5;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;8;54.85;False;2019.10.12;1;1;6.85625;
20200505;6;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;9;-16.34;False;2019.10.12;0;0;-1.81555555555556;
20200505;4;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;6;-13.18;False;2019.10.12;0;0;-2.19666666666667;
20200505;5;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;10;15.93;False;2019.10.12;1;1;1.593;
20200505;6;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;10;-36.11;False;2019.10.12;0;0;-3.611;
20200505;4;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;7;-32.45;False;2019.10.12;0;0;-4.63571428571429;
20200505;5;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;11;-3.68;False;2019.10.12;0;0;-0.334545454545455;
20200505;6;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;11;-55.03;False;2019.10.12;0;0;-5.00272727272727;
20200505;4;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;7;-32;False;2019.10.12;0;0;-4.57142857142857;
20200505;5;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;11;-4.27;False;2019.10.12;0;0;-0.388181818181818;
20200505;6;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;13;-93.98;False;2019.10.12;0;0;-7.22923076923077;
20200505;4;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;7;-32.91;False;2019.10.12;0;0;-4.70142857142857;
20200505;5;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;12;26.99;False;2019.10.12;1;1;2.24916666666667;
20200505;6;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;15;-80;False;2019.10.12;0;0;-5.33333333333333;
20200505;4;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;11;-8.52;False;2019.10.12;0;0;-0.774545454545455;
20200505;5;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;15;22.84;False;2019.10.12;1;1;1.52266666666667;
20200505;6;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;19;-106.44;False;2019.10.12;0;0;-5.60210526315789;
20200505;4;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;14;-16.68;False;2019.10.12;0;0;-1.19142857142857;
20200505;5;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;20;32.34;False;2019.10.12;1;1;1.617;
20200505;6;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;24;-39.36;False;2019.10.12;0;0;-1.64;
20200505;4;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;16;-50.97;False;2019.10.12;0;0;-3.185625;
20200505;5;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;24;-44.05;False;2019.10.12;0;0;-1.83541666666667;
20200505;6;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;28;-61.35;False;2019.10.12;0;0;-2.19107142857143;
20200505;4;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;12;-28.05;False;2019.10.12;0;0;-2.3375;
20200505;5;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;23;-24.44;False;2019.10.12;0;0;-1.06260869565217;
20200505;6;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;27;9.5716;False;2019.10.12;1;1;0.354503703703704;
20200505;4;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;9;-17.82;False;2019.10.12;0;0;-1.98;
20200505;5;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;19;-0.31;False;2019.10.12;0;0;-1.63157894736842E-02;
20200505;6;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;23;32.2616;False;2019.10.12;1;1;1.40267826086957;
20200505;4;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;7;-31.291;False;2019.10.12;0;0;-4.47014285714286;
20200505;5;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;16;-46.78;False;2019.10.12;0;0;-2.92375;
20200505;6;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;17;41.0516;False;2019.10.12;1;1;2.4148;
20200505;4;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;6;-64.781;False;2019.10.12;0;0;-10.7968333333333;
20200505;5;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;12;-79.86;False;2019.10.12;0;0;-6.655;
20200505;6;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;14;-10.0584;False;2019.10.12;0;0;-0.718457142857143;
20200505;4;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;4;-76.791;False;2019.10.12;0;0;-19.19775;
20200505;5;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;10;-92.39;False;2019.10.12;0;0;-9.239;
20200505;6;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;11;-57.4284;False;2019.10.12;0;0;-5.22076363636364;
20200505;4;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;4;-76.791;False;2019.10.12;0;0;-19.19775;
20200505;5;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;7;-136.2;False;2019.10.12;0;0;-19.4571428571429;
20200505;6;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;8;-155.39;False;2019.10.12;0;0;-19.42375;
20200505;4;20;ATRMultiplier;-90;1.5;0.0003;5;1.5;60;0;8;19;1;3;44.7938;False;2019.10.12;1;1;14.9312666666667;
